Customer No.,Exposure at Default (in lakh Rs.),Recovery (%),Probability of Default,Money Lost,Non Defaulter,MoneyLOST,E
160,15.91,24.35%,0.0023,12.035915,0.9977,0,0.027682605
161,17.97,19.94%,0.0061,14.386782,0.9939,0,0.08775937
162,15.48,6.93%,0.0016,14.407236,0.9984,0,0.023051578
163,18.75,4.93%,0.0017,17.825625,0.9983,0,0.030303563
164,6.65,27.29%,0.0047,4.835215,0.9953,0,0.022725511
165,15.94,13.04%,0.0002,13.861424,0.9998,0,0.002772285
166,6.64,30.41%,0,4.620776,1,0,0
167,17.29,35.48%,0.0092,11.155508,0.9908,0,0.102630674
168,21,38.65%,0.0076,12.8835,0.9924,0,0.0979146
169,5.07,26.56%,0.0091,3.723408,0.9909,0,0.033883013
170,2.62,26.87%,0.0023,1.916006,0.9977,0,0.004406814
171,16.14,22.56%,0.0064,12.498816,0.9936,0,0.079992422
172,1.96,26.50%,0.003,1.4406,0.997,0,0.0043218
173,10.48,29.41%,0.0076,7.397832,0.9924,0,0.056223523
174,20.01,36.15%,0.009,12.776385,0.991,0,0.114987465
175,7.4,26.02%,0.0067,5.47452,0.9933,0,0.036679284
176,23.68,30.66%,0.0045,16.419712,0.9955,0,0.073888704
177,4.8,36.15%,0.0096,3.0648,0.9904,0,0.02942208
178,7.34,39.28%,0.0044,4.456848,0.9956,0,0.019610131
179,21.63,24.63%,0.0092,16.302531,0.9908,0,0.149983285
180,6.29,4.94%,0.0016,5.979274,0.9984,0,0.009566838
181,15.18,15.49%,0.003,12.828618,0.997,0,0.038485854
182,22.72,1.53%,0.0002,22.372384,0.9998,0,0.004474477
183,13.28,17.18%,0.0059,10.998496,0.9941,0,0.064891126
184,2.47,31.07%,0.0046,1.702571,0.9954,0,0.007831827
185,18.02,14.60%,0.0055,15.38908,0.9945,0,0.08463994
186,18.3,36.79%,0.0054,11.56743,0.9946,0,0.062464122
187,10.47,22.89%,0.0062,8.073417,0.9938,0,0.050055185
188,23.76,0.11%,0.0017,23.733864,0.9983,0,0.040347569
189,9.02,28.30%,0.0046,6.46734,0.9954,0,0.029749764
190,10.52,28.79%,0.0057,7.491292,0.9943,0,0.042700364
191,16.75,22.87%,0.0047,12.919275,0.9953,0,0.060720593
192,8.05,28.58%,0.0016,5.74931,0.9984,0,0.009198896
193,23.17,26.33%,0.0067,17.069339,0.9933,0,0.114364571
194,3.37,11.42%,0.0055,2.985146,0.9945,0,0.016418303
195,8.79,38.51%,0.0049,5.404971,0.9951,0,0.026484358
196,5.81,2.84%,0.0075,5.644996,0.9925,0,0.04233747
197,21.12,31.13%,0.0062,14.545344,0.9938,0,0.090181133
198,1.61,15.47%,0.0066,1.360933,0.9934,0,0.008982158
199,5.69,7.61%,0.003,5.256991,0.997,0,0.015770973
200,13.74,30.89%,0.0062,9.495714,0.9938,0,0.058873427
201,14.14,4.67%,0.0039,13.479662,0.9961,0,0.052570682
202,18.39,6.44%,0.0059,17.205684,0.9941,0,0.101513536
203,12.38,6.97%,0.001,11.517114,0.999,0,0.011517114
204,16.33,21.12%,0.0009,12.881104,0.9991,0,0.011592994
205,14.06,20.09%,0.0044,11.235346,0.9956,0,0.049435522
206,1.5,14.73%,0.001,1.27905,0.999,0,0.00127905
207,19.49,20.49%,0.0099,15.496499,0.9901,0,0.15341534
208,11.41,12.84%,0.003,9.944956,0.997,0,0.029834868
209,21.18,37.26%,0.0092,13.288332,0.9908,0,0.122252654
210,19.71,18.65%,0.0054,16.034085,0.9946,0,0.086584059
211,3.62,7.53%,0.0023,3.347414,0.9977,0,0.007699052
212,8.08,16.41%,0.0058,6.754072,0.9942,0,0.039173618
213,14.72,23.82%,0.008,11.213696,0.992,0,0.089709568
214,15.17,38.68%,0.0014,9.302244,0.9986,0,0.013023142
215,13.1,12.87%,0.007,11.41403,0.993,0,0.07989821
216,18.51,35.35%,0.0097,11.966715,0.9903,0,0.116077136
217,9.59,3.24%,0.0012,9.279284,0.9988,0,0.011135141
218,8.53,33.21%,0.0017,5.697187,0.9983,0,0.009685218
219,10.46,1.37%,0.0064,10.316698,0.9936,0,0.066026867
220,14.35,3.28%,0.0093,13.87932,0.9907,0,0.129077676
221,7.34,3.79%,0.0042,7.061814,0.9958,0,0.029659619
222,9.67,4.09%,0.0059,9.274497,0.9941,0,0.054719532
223,10.57,4.11%,0.0079,10.135573,0.9921,0,0.080071027
224,16.45,20.32%,0.0078,13.10736,0.9922,0,0.102237408
225,22.45,11.58%,0.0081,19.85029,0.9919,0,0.160787349
226,8.69,19.33%,0.0089,7.010223,0.9911,0,0.062390985
227,14.71,31.61%,0.002,10.060169,0.998,0,0.020120338
228,11.3,34.09%,0,7.44783,1,0,0
229,9.45,14.12%,0.004,8.11566,0.996,0,0.03246264
230,19.75,38.81%,0.0023,12.085025,0.9977,0,0.027795558
231,9.31,34.71%,0.0013,6.078499,0.9987,0,0.007902049
232,1.87,37.17%,0.0051,1.174921,0.9949,0,0.005992097
233,6.28,13.94%,0.0048,5.404568,0.9952,0,0.025941926
234,23.05,27.71%,0.0009,16.662845,0.9991,0,0.014996561
235,17.28,17.96%,0.0022,14.176512,0.9978,0,0.031188326
236,2.98,35.28%,0.0076,1.928656,0.9924,0,0.014657786
237,0.09,33.54%,0.0057,0.059814,0.9943,0,0.00034094
238,2.34,27.12%,0.0064,1.705392,0.9936,0,0.010914509
239,7.24,25.80%,0.0008,5.37208,0.9992,0,0.004297664
240,14.18,28.87%,0.0011,10.086234,0.9989,0,0.011094857
241,19.89,27.58%,0.0056,14.404338,0.9944,0,0.080664293
242,4.61,30.67%,0.0083,3.196113,0.9917,0,0.026527738
243,22.55,19.51%,0.0039,18.150495,0.9961,0,0.070786931
244,14.7,34.72%,0.0019,9.59616,0.9981,0,0.018232704
245,9.6,5.04%,0.0037,9.11616,0.9963,0,0.033729792
246,1.51,27.56%,0.0061,1.093844,0.9939,0,0.006672448
247,22.18,17.54%,0.0006,18.289628,0.9994,0,0.010973777
248,19.02,34.45%,0.0019,12.46761,0.9981,0,0.023688459
249,0.3,35.13%,0.0018,0.19461,0.9982,0,0.000350298
250,2.17,2.64%,0.0059,2.112712,0.9941,0,0.012465001
251,20.63,36.87%,0.004,13.023719,0.996,0,0.052094876
252,12.63,24.75%,0.0007,9.504075,0.9993,0,0.006652853
253,23.51,31.82%,0.0082,16.029118,0.9918,0,0.131438768
254,13.39,6.91%,0.0004,12.464751,0.9996,0,0.0049859
255,12.51,38.56%,0.0015,7.686144,0.9985,0,0.011529216
256,21.75,2.25%,0.0093,21.260625,0.9907,0,0.197723813
257,2.08,36.27%,0.0062,1.325584,0.9938,0,0.008218621
258,0.82,16.07%,0.0031,0.688226,0.9969,0,0.002133501
259,9.8,4.90%,0.0077,9.3198,0.9923,0,0.07176246
260,14.3,37.01%,0.0013,9.00757,0.9987,0,0.011709841
261,23.06,24.36%,0.0047,17.442584,0.9953,0,0.081980145
262,3.57,13.95%,0.0036,3.071985,0.9964,0,0.011059146
263,0.52,12.56%,0.0095,0.454688,0.9905,0,0.004319536
264,5.25,25.19%,0.0038,3.927525,0.9962,0,0.014924595
265,5.03,37.77%,0.0024,3.130169,0.9976,0,0.007512406
266,14.67,38.05%,0.0027,9.088065,0.9973,0,0.024537776
267,20.59,28.61%,0.005,14.699201,0.995,0,0.073496005
268,22.42,20.89%,0.0001,17.736462,0.9999,0,0.001773646
269,18.79,26.90%,0.001,13.73549,0.999,0,0.01373549
270,22.11,30.98%,0.0043,15.260322,0.9957,0,0.065619385
271,2.55,16.07%,0.0081,2.140215,0.9919,0,0.017335742
272,5.04,10.19%,0.0026,4.526424,0.9974,0,0.011768702
273,2.31,10.09%,0.0093,2.076921,0.9907,0,0.019315365
274,15.37,31.97%,0.0004,10.456211,0.9996,0,0.004182484
275,21.05,29.96%,0.0013,14.74342,0.9987,0,0.019166446
276,23,31.16%,0.0051,15.8332,0.9949,0,0.08074932
277,14.81,30.02%,0.0085,10.364038,0.9915,0,0.088094323
278,22.92,37.66%,0.0067,14.288328,0.9933,0,0.095731798
279,16.32,10.00%,0.0076,14.688,0.9924,0,0.1116288
280,20.65,25.77%,0.0012,15.328495,0.9988,0,0.018394194
281,6.99,15.28%,0.0073,5.921928,0.9927,0,0.043230074
282,12.09,8.21%,0.0089,11.097411,0.9911,0,0.098766958
283,18.62,1.06%,0.0012,18.422628,0.9988,0,0.022107154
284,9.49,20.89%,0.0077,7.507539,0.9923,0,0.05780805
285,10.81,0.90%,0.0068,10.71271,0.9932,0,0.072846428
286,3.06,2.92%,0.0046,2.970648,0.9954,0,0.013664981
287,7.65,11.79%,0.0073,6.748065,0.9927,0,0.049260875
288,18.67,33.79%,0.002,12.361407,0.998,0,0.024722814
289,9.98,19.38%,0.0058,8.045876,0.9942,0,0.046666081
290,11.76,13.70%,0.0054,10.14888,0.9946,0,0.054803952
291,13.94,25.68%,0.0039,10.360208,0.9961,0,0.040404811
292,9.54,35.38%,0.0051,6.164748,0.9949,0,0.031440215
293,1.52,37.79%,0.0019,0.945592,0.9981,0,0.001796625
294,13.13,16.92%,0.0088,10.908404,0.9912,0,0.095993955
295,19.85,31.76%,0.0089,13.54564,0.9911,0,0.120556196
296,9.46,3.70%,0.0031,9.10998,0.9969,0,0.028240938
297,14.66,7.87%,0.0061,13.506258,0.9939,0,0.082388174
298,6.46,39.48%,0.0033,3.909592,0.9967,0,0.012901654
299,14.97,34.05%,0.0092,9.872715,0.9908,0,0.090828978
300,3.22,21.69%,0.0091,2.521582,0.9909,0,0.022946396
301,20.57,24.25%,0.0064,15.581775,0.9936,0,0.09972336
302,17.22,21.78%,0.0094,13.469484,0.9906,0,0.12661315
303,8.43,21.13%,0.0054,6.648741,0.9946,0,0.035903201
304,10.55,28.77%,0.001,7.514765,0.999,0,0.007514765
305,21.27,37.56%,0.0052,13.280988,0.9948,0,0.069061138
306,13.69,14.89%,0.0059,11.651559,0.9941,0,0.068744198
307,12.25,31.68%,0.0096,8.3692,0.9904,0,0.08034432
308,3.38,10.36%,0.0063,3.029832,0.9937,0,0.019087942
309,1.66,23.75%,0.0045,1.26575,0.9955,0,0.005695875
310,7.41,3.09%,0.0084,7.181031,0.9916,0,0.06032066
311,6.07,25.04%,0.0024,4.550072,0.9976,0,0.010920173
312,8.11,2.37%,0.0002,7.917793,0.9998,0,0.001583559
313,20.6,10.27%,0.0087,18.48438,0.9913,0,0.160814106
314,13.4,16.68%,0.0096,11.16488,0.9904,0,0.107182848
315,18.16,18.82%,0.006,14.742288,0.994,0,0.088453728
316,10.29,26.62%,0.0013,7.550802,0.9987,0,0.009816043
317,2.98,23.74%,0.0025,2.272548,0.9975,0,0.00568137
318,13.91,14.85%,0.0059,11.844365,0.9941,0,0.069881754
319,6.81,33.82%,0.0003,4.506858,0.9997,0,0.001352057
320,5.88,20.22%,0.002,4.691064,0.998,0,0.009382128
321,14.15,33.38%,0.0007,9.42673,0.9993,0,0.006598711
322,24.88,32.24%,0.0059,16.858688,0.9941,0,0.099466259
323,12.32,12.58%,0.0084,10.770144,0.9916,0,0.09046921
324,3.73,4.23%,0.0066,3.572221,0.9934,0,0.023576659
325,5.62,5.11%,0.0069,5.332818,0.9931,0,0.036796444
326,18.25,0.93%,0.0056,18.080275,0.9944,0,0.10124954
327,6.13,22.96%,0.0028,4.722552,0.9972,0,0.013223146
328,13.23,10.68%,0.0076,11.817036,0.9924,0,0.089809474
329,19.28,30.00%,0.0068,13.496,0.9932,0,0.0917728
330,13.28,7.09%,0.0063,12.338448,0.9937,0,0.077732222
331,3.84,37.28%,0.0048,2.408448,0.9952,0,0.01156055
332,21.84,13.71%,0.0092,18.845736,0.9908,0,0.173380771
333,17.91,8.13%,0.0082,16.453917,0.9918,0,0.134922119
334,3.67,13.90%,0.0085,3.15987,0.9915,0,0.026858895
335,19.08,23.12%,0.0002,14.668704,0.9998,0,0.002933741
336,20.58,38.02%,0.0065,12.755484,0.9935,0,0.082910646
337,0.99,30.33%,0.0092,0.689733,0.9908,0,0.006345544
338,9.13,38.84%,0.0033,5.583908,0.9967,0,0.018426896
339,24.23,6.66%,0.0099,22.616282,0.9901,0,0.223901192
340,10.97,39.52%,0.0085,6.634656,0.9915,0,0.056394576
341,20.23,10.89%,0.0096,18.026953,0.9904,0,0.173058749
342,8.49,20.49%,0.0046,6.750399,0.9954,0,0.031051835
343,21.12,20.01%,0.0036,16.893888,0.9964,0,0.060817997
344,3.78,3.90%,0.0011,3.63258,0.9989,0,0.003995838
345,16.1,22.54%,0.0052,12.47106,0.9948,0,0.064849512
346,3.89,13.68%,0.0047,3.357848,0.9953,0,0.015781886
347,9.09,18.02%,0.0011,7.451982,0.9989,0,0.00819718
348,3.51,29.99%,0.0076,2.457351,0.9924,0,0.018675868
349,15.73,33.88%,0.001,10.400676,0.999,0,0.010400676
350,1.62,4.79%,0.0048,1.542402,0.9952,0,0.00740353
351,12.02,15.49%,0.0027,10.158102,0.9973,0,0.027426875
352,18.82,33.52%,0.0012,12.511536,0.9988,0,0.015013843
353,8.81,8.92%,0.0083,8.024148,0.9917,0,0.066600428
354,16.97,33.43%,0.0085,11.296929,0.9915,0,0.096023897
355,8.23,7.45%,0.0017,7.616865,0.9983,0,0.012948671
356,4.61,28.55%,0.0049,3.293845,0.9951,0,0.016139841
357,5.21,34.67%,0.0077,3.403693,0.9923,0,0.026208436
358,21.55,27.47%,0.0059,15.630215,0.9941,0,0.092218269
359,8.45,8.21%,0.0035,7.756255,0.9965,0,0.027146893
360,10.16,17.22%,0.0059,8.410448,0.9941,0,0.049621643
361,20.56,10.63%,0.0085,18.374472,0.9915,0,0.156183012
362,12.55,1.86%,0.0006,12.31657,0.9994,0,0.007389942
363,14.71,6.77%,0.002,13.714133,0.998,0,0.027428266
364,0.48,18.77%,0.0065,0.389904,0.9935,0,0.002534376
365,15.17,28.94%,0.0024,10.779802,0.9976,0,0.025871525
366,2.03,25.03%,0.0024,1.521891,0.9976,0,0.003652538
367,2.59,30.20%,0.0042,1.80782,0.9958,0,0.007592844
368,24.05,13.69%,0.0068,20.757555,0.9932,0,0.141151374
369,14.22,27.96%,0.0062,10.244088,0.9938,0,0.063513346
370,19.21,28.45%,0.0035,13.744755,0.9965,0,0.048106643
371,18.31,30.91%,0.0059,12.650379,0.9941,0,0.074637236
372,17.45,20.59%,0.001,13.857045,0.999,0,0.013857045
373,9.12,32.01%,0.0091,6.200688,0.9909,0,0.056426261
374,1.31,31.71%,0.0024,0.894599,0.9976,0,0.002147038
375,5.66,39.31%,0.0081,3.435054,0.9919,0,0.027823937
376,15.01,7.95%,0.0069,13.816705,0.9931,0,0.095335265
377,10.92,15.00%,0.0062,9.282,0.9938,0,0.0575484
378,3.05,24.13%,0.007,2.314035,0.993,0,0.016198245
379,0.39,35.70%,0.0077,0.25077,0.9923,0,0.001930929
380,23.23,2.87%,0.0069,22.563299,0.9931,0,0.155686763
381,13.26,19.48%,0.0053,10.676952,0.9947,0,0.056587846
382,12.7,24.02%,0.0041,9.64946,0.9959,0,0.039562786
383,22.58,30.24%,0.0037,15.751808,0.9963,0,0.05828169
384,19.86,7.27%,0.0045,18.416178,0.9955,0,0.082872801
385,8.9,2.27%,0.0029,8.69797,0.9971,0,0.025224113
386,24.28,7.86%,0.0093,22.371592,0.9907,0,0.208055806
387,13.55,3.86%,0.0037,13.02697,0.9963,0,0.048199789
388,8.65,4.12%,0.0049,8.29362,0.9951,0,0.040638738
389,3.4,24.88%,0.0019,2.55408,0.9981,0,0.004852752
390,22.05,4.03%,0.0059,21.161385,0.9941,0,0.124852172
391,20.98,26.35%,0.0049,15.45177,0.9951,0,0.075713673
392,21.26,21.94%,0.0007,16.595556,0.9993,0,0.011616889
393,2.59,35.57%,0.0005,1.668737,0.9995,0,0.000834369
394,21.77,31.70%,0.0014,14.86891,0.9986,0,0.020816474
395,17.66,17.73%,0.0068,14.528882,0.9932,0,0.098796398
396,5.01,35.97%,0.0027,3.207903,0.9973,0,0.008661338
397,14.17,31.43%,0.0042,9.716369,0.9958,0,0.04080875
398,4.15,18.68%,0.0071,3.37478,0.9929,0,0.023960938
399,11.27,36.62%,0.0076,7.142926,0.9924,0,0.054286238
400,6.16,29.76%,0.0021,4.326784,0.9979,0,0.009086246
401,7.46,32.65%,0.0076,5.02431,0.9924,0,0.038184756
402,8.37,33.23%,0.0084,5.588649,0.9916,0,0.046944652
403,21.24,38.76%,0.0023,13.007376,0.9977,0,0.029916965
404,10,37.05%,0.0007,6.295,0.9993,0,0.0044065
405,21.68,37.08%,0.0072,13.641056,0.9928,0,0.098215603
406,4.29,34.71%,0.0077,2.800941,0.9923,0,0.021567246
407,20.83,22.25%,0.0078,16.195325,0.9922,0,0.126323535
408,12.47,6.52%,0.0081,11.656956,0.9919,0,0.094421344
409,0.4,25.32%,0.0017,0.29872,0.9983,0,0.000507824
410,15.16,13.04%,0.0095,13.183136,0.9905,0,0.125239792
411,15.32,36.40%,0.0035,9.74352,0.9965,0,0.03410232
